,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle,Exports
2022-07-01 14:00:00,-1348040.094,-170119.08144,-1014376.50972,-2945591.15634,-619644.1356,-380069.78184,-116011.87038000001,-336069.3231,-253552.2066,-551992.5608399999,-533456.6340600001,-807751.0299600001,-432290.68848,-263755.99152,-357292.13435999997,-31259.530260000003,-567813.7836,-1203919.7851800001,-2508.408
2022-07-01 15:00:00,-1337891.445,-169469.45568,-1020330.4960800001,-2917241.6742,-612666.4723200001,-376593.50484,-117938.64726,-344300.48856,-253887.05286,-559791.7731,-531515.9745,-800245.31076,-430765.53156000003,-261681.6384,-354819.79764000006,-31757.819939999998,-568505.9973599999,-1204261.9029,0.0
2022-07-01 16:00:00,-1304326.263,-168391.9755,-990265.73814,-2843292.7404,-602079.4962,-369556.62786,-119080.32570000002,-349375.23054,-251636.69160000002,-547978.16934,-525170.8866600001,-789968.23416,-425019.79422000004,-294926.85684,-343493.43840000004,-32340.15162,-555939.27018,-1187987.8122,0.0
2022-07-01 17:00:00,-1264412.003,-167647.0068,-930680.8333200001,-2812285.7620200003,-586700.4843,-371109.2049,-119957.15466,-354766.96206,-250137.03834,-533843.46666,-518294.96082,-763857.0865800001,-414827.3682,-317074.87602,-330742.60757999995,-32816.5929,-542976.54138,-1136453.03982,0.0
2022-07-01 18:00:00,-1424699.623,-177701.28642,-1014959.62008,-2998267.26948,-646375.2624,-411393.76992000005,-138793.44906,-410699.04371999996,-270472.60548,-634297.15818,-573027.084,-845733.2498999999,-452621.0808,-341006.30802000005,-346419.98118,-38453.81904,-566879.103,-1213848.62928,-7132.482
2022-07-01 19:00:00,-1440639.774,-178592.83218,-1045104.2191799999,-3016212.6758399997,-675814.3497,-416526.52859999996,-139517.13888,-425857.44348,-276619.99679999996,-675832.3173,-580192.77456,-889778.1614399999,-466738.53282,-341425.41048,-334075.55076,-39958.49088,-560304.3776400001,-1213904.44098,0.0
2022-07-01 20:00:00,-1372633.12,-176343.76746000003,-1068432.97554,-2968211.6074800002,-690696.46044,-402404.86062,-129509.84718,-400522.32612000004,-276795.76932,-684885.70836,-558094.53798,-896055.8796,-454402.86066,-334648.02672,-327219.47622,-37611.252,-539993.06172,-1179850.78764,0.0
2022-07-01 21:00:00,-1173335.358,-171303.174,-1018393.76772,-2646028.30338,-656037.3015000001,-370522.86011999997,-111635.08020000001,-350835.06906,-268286.74488,-627389.4211200001,-509963.71859999996,-856925.74674,-413021.30688000005,-334300.5981,-316473.30288,-32141.71548,-512125.39602000004,-1078785.16704,0.0
2022-07-01 22:00:00,-1057850.124,-166185.26694,-1005024.1887,-2407686.80166,-656870.16528,-343097.53631999996,-93892.58424,-306632.72178,-265390.3665,-607426.46496,-459893.31821999996,-850975.4383200001,-389179.26558,-312914.71134,-302818.24944,-27593.5086,-480382.72380000004,-1014100.65036,-2565.9648
2022-07-01 23:00:00,-955218.19,-162699.83604000002,-986309.59266,-2223084.56076,-639488.6442,-322563.3453,-81822.40542,-270257.92164,-261525.41352000003,-575608.2065999999,-412995.9141,-826147.72674,-358674.02802,-295403.45436,-286607.79,-23870.687400000003,-450120.52512,-929734.9992000001,0.0
